langpair	n_sys	boundary_acc[legacy_none]	boundary_acc[none]	boundary_acc[spm32k]	boundary_acc[spm64k]	boundary_acc[spm128k]	boundary_acc[spm256k]	seg_exact[legacy_none]	seg_exact[none]	seg_exact[spm32k]	seg_exact[spm64k]	seg_exact[spm128k]	seg_exact[spm256k]
cs-uk	20	0.556	79.8356	84.8853	85.2942	85.952	85.7572	0.244	67.0315	76.0773	76.6861	77.4827	77.2042
en-cs	26	5.9377	70.7723	79.9171	80.0023	81.0365	81.877	2.0793	54.1393	67.5179	67.5449	68.9492	70.3109
en-de	26	5.0391	72.0815	83.558	83.4263	85.0918	84.2745	1.8556	54.4595	71.1635	71.1673	73.7327	72.7953
en-es	23	2.3512	80.9887	88.4627	87.7972	88.4146	88.3883	0.6236	68.1697	80.4588	79.5081	80.4282	80.3803
en-hi	18	7.1221	67.0975	77.2183	78.0967	78.9918	79.1037	5.8676	49.5264	63.4347	64.5659	66.3212	66.0537
en-is	19	10.5687	64.2232	77.9509	78.9686	79.6205	79.912	6.7782	44.8239	63.8653	65.222	66.5312	67.0696
en-ja	23	6.1868	68.3655	95.1793	95.0742	94.8203	93.4717	1.2429	21.9179	91.2738	91.0994	90.6982	88.2692
en-ru	24	1.3176	61.2748	77.1861	78.8687	78.7135	79.0911	0.3302	42.1515	64.0087	66.6458	66.2738	66.7628
en-uk	20	1.0675	74.1893	85.9517	85.7553	86.1732	86.5559	0.2156	58.6459	76.008	75.7222	76.0832	76.7051
en-zh	21	8.7949	59.3775	93.3295	93.3295	93.4158	92.1882	0.3296	17.5336	89.2296	89.3968	89.3012	87.1758
ja-zh	22	9.2428	65.5799	94.448	94.41	93.644	91.7764	0.7628	22.3868	90.7515	90.701	89.2573	85.8782
ALL	242	4.6536	70.633	85.0819	85.3528	85.8554	85.5838	1.6094	48.2598	75.54	75.9578	76.6513	76.1646
